Community Area Number,COMMUNITY AREA NAME,Latitude,Longitude,PERCENT OF HOUSING CROWDED,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PERCENT AGED UNDER 18 OR OVER 64,PER CAPITA INCOME ,HARDSHIP INDEX
1,Rogers Park,42.0105295,-87.6871141,7.7,23.6,8.7,18.2,27.5,23939,39
2,West Ridge,42.0013395,-87.7102254,7.8,17.2,8.8,20.8,38.5,23040,46
3,Uptown,41.9661381,-87.6701471,3.8,24,8.9,11.8,22.2,35787,20
4,Lincoln Square,41.9699484,-87.6933539,3.4,10.9,8.2,13.4,25.5,37524,17
5,North Center,41.9469191,-87.7026083,0.3,7.5,5.2,4.5,26.2,57123,6
6,Lake View,41.9435094,-87.688172,1.1,11.4,4.7,2.6,17,60058,5
7,Lincoln Park,41.9219302,-87.6689728,0.8,12.3,5.1,3.6,21.5,71551,2
8,Near North Side,41.8989843,-87.6463861,1.9,12.9,7,2.5,22.6,88669,1
9,Edison Park,42.0072088,-87.8315006,1.1,3.3,6.5,7.4,35.3,40959,8
10,Norwood Park,41.9856514,-87.8247351,2,5.4,9,11.5,39.5,32875,21
11,Jefferson Park,41.9825395,-87.7878426,2.7,8.6,12.4,13.4,35.5,27751,25
12,Forest Glen,41.9917643,-87.7933953,1.1,7.5,6.8,4.9,40.5,44164,11
13,North Park,41.9846358,-87.7436585,3.9,13.2,9.9,14.4,39,26576,33
14,Albany Park,41.968552,-87.7388912,11.3,19.2,10,32.9,32,21323,53
15,Portage Park,41.9536108,-87.7820877,4.1,11.6,12.6,19.3,34,24336,35
16,Irving Park,41.9535453,-87.7385973,6.3,13.1,10,22.4,31.6,27249,34
17,Dunning,41.947299,-87.823983,5.2,10.6,10,16.2,33.6,26282,28
18,Montclaire,41.9279099,-87.8155905,8.1,15.3,13.8,23.5,38.6,22014,50
19,Belmont Cragin,41.9264247,-87.7835619,10.8,18.7,14.6,37.3,37.3,15461,70
20,Hermosa,41.9262628,-87.7497709,6.9,20.5,13.1,41.6,36.4,15089,71
21,Avondale,41.9394128,-87.725175,6,15.3,9.2,24.7,31,20039,42
22,Logan Square,41.9228947,-87.7268974,3.2,16.8,8.2,14.8,26.2,31908,23
23,Humboldt park,41.9009034,-87.7340027,14.8,33.9,17.3,35.4,38,13781,85
24,West Town,41.9021136,-87.6907096,2.3,14.7,6.6,12.9,21.7,43198,10
25,Austin,41.8911486,-87.792514,6.3,28.6,22.6,24.4,37.9,15957,73
26,West Garfield Park,41.8783119,-87.7391678,9.4,41.7,25.8,24.5,43.6,10934,92
27,East Garfield Park,41.8787349,-87.7135705,8.2,42.4,19.6,21.3,43.2,12961,83
28,Near West Side,41.8733985,-87.6809025,3.8,20.6,10.7,9.6,22.2,44689,15
29,North Lawndale,41.8582881,-87.7314817,7.4,43.1,21.2,27.6,42.7,12034,87
30,South Lawndale,41.8452619,-87.7297194,15.2,30.7,15.8,54.8,33.8,10402,96
31,Lower West Side,41.8474415,-87.6791252,9.6,25.8,15.8,40.7,32.6,16444,76
32,Loop,41.8790031,-87.637882,1.5,14.7,5.7,3.1,13.5,65526,3
33,Near South Side,41.8566303,-87.6379074,1.3,13.8,4.9,7.4,21.8,59077,7
34,Armour Square,41.8407268,-87.6539706,5.7,40.1,16.7,34.5,38.3,16148,82
35,Douglas,41.8347344,-87.6338444,1.8,29.6,18.2,14.3,30.7,23791,47
36,Oakland,41.8241056,-87.6111497,1.3,39.7,28.7,18.4,40.4,19252,78
37,Fuller Park,41.809107,-87.6499771,3.2,51.2,33.9,26.6,44.9,10432,97
38,Grand Boulevard,41.8129596,-87.6353946,3.3,29.3,24.3,15.9,39.5,23472,57
39,Kenwood,41.8097234,-87.6023627,2.4,21.7,15.7,11.3,35.4,35911,26
40,Washington Park,41.7910905,-87.6382937,5.6,42.1,28.6,25.4,42.8,13785,88
41,Hyde Park,41.7942496,-87.5995406,1.5,18.4,8.4,4.3,26.2,39056,14
42,Woodlawn,41.7761641,-87.6086205,2.9,30.7,23.4,16.5,36.1,18672,58
43,South Shore,41.7625909,-87.5808729,2.8,31.1,20,14,35.7,19398,55
44,Chatham,41.7369808,-87.6349259,3.3,27.8,24,14.5,40.3,18881,60
45,Avalon Park,41.7477903,-87.5964242,1.4,17.2,21.1,10.6,39.3,24454,41
46,South Chicago,41.7390541,-87.5725683,4.7,29.8,19.7,26.6,41.1,16579,75
47,Burnside,41.7294347,-87.6043656,6.8,33,18.6,19.3,42.7,12515,79
48,Calumet Heights,41.7299289,-87.5880318,2.1,11.5,20,11,44,28887,38
49,Roseland,41.7123369,-87.6580094,2.5,19.8,20.3,16.9,41.2,17949,52
50,Pullman,41.7039213,-87.6155862,1.5,21.6,22.8,13.1,38.6,20588,51
51,South Deering,41.6915902,-87.6070799,4,29.2,16.3,21,39.5,14685,65
52,East Side,41.7079424,-87.5700405,6.8,19.2,12.1,31.9,42.8,17104,64
53,West Pullman,41.6714256,-87.6544416,3.3,25.9,19.4,20.5,42.1,16563,62
54,Riverdale,41.6654575,-87.6343643,5.8,56.5,34.6,27.5,51.5,8201,98
55,Hegewisch,41.6682579,-87.5918276,3.3,17.1,9.6,19.2,42.9,22677,44
56,Garfield Ridge,41.8034337,-87.7871948,2.6,8.8,11.3,19.3,38.1,26353,32
57,Archer Heights,41.8108364,-87.7436826,8.5,14.1,16.5,35.9,39.2,16134,67
58,Brighton Park,41.8193951,-87.7165648,14.4,23.6,13.9,45.1,39.3,13089,84
59,McKinley Park,41.831026,-87.6805366,7.2,18.7,13.4,32.9,35.6,16954,61
60,Bridgeport,41.83644,-87.6669761,4.5,18.9,13.7,22.2,31.3,22694,43
61,New City,41.8087574,-87.677451,11.9,29,23,41.5,38.9,12765,91
62,West Elsdon,41.7959186,-87.7343166,11.1,15.6,16.7,37,37.7,15754,69
63,Gage Park,41.7954886,-87.7050461,15.8,23.4,18.2,51.5,38.8,12171,93
64,Clearing,41.7784911,-87.7867057,2.7,8.9,9.5,18.8,37.6,25113,29
65,West Lawn,41.7728147,-87.7244637,5.8,14.9,9.6,33.6,39.6,16907,56
66,Chicago Lawn,41.7718796,-87.7130579,7.6,27.9,17.1,31.2,40.6,13231,80
67,West Englewood,41.7780931,-87.6689064,4.8,34.4,35.9,26.3,40.7,11317,89
68,Englewood,41.7753688,-87.6590701,3.8,46.6,28,28.5,42.5,11888,94
69,Greater Grand Crossing,41.766988,-87.6335088,3.6,29.6,23,16.5,41,17285,66
70,Ashburn,41.7480273,-87.7246529,4,10.4,11.7,17.7,36.9,23482,37
71,Auburn Gresham,41.7434199,-87.6736705,4,27.6,28.3,18.5,41.9,15528,74
72,Beverly,41.7166772,-87.6885421,0.9,5.1,8,3.7,40.5,39523,12
73,Washington Height,41.7160155,-87.6681192,1.1,16.9,20.8,13.7,42.6,19713,48
74,Mount Greenwood,41.6968999,-87.7352574,1,3.4,8.7,4.3,36.8,34381,16
75,Morgan Park,41.6878333,-87.686544,0.8,13.2,15,10.8,40.3,27149,30
76,O'Hare,41.9731964,-87.922474,3.6,15.4,7.1,10.9,30.3,25828,24
77,Edgewater,41.9872003,-87.678661,4.1,18.2,9.2,9.7,23.8,33385,19
